Name  	% Frequency  	Approx Number  	Rank
CLEVELAND	0.016	23,343 	545
CLIFF	0.012	17,508 	612
CLIFFORD	0.123	179,452 	149
CLIFTON	0.05	72,948 	279
CLINT	0.024	35,015 	426
CLINTON	0.065	94,832 	239
CLYDE	0.095	138,601 	187
CODY	0.063	91,915 	246
COLBY	0.009	13,131 	703
COLE	0.01	14,590 	682
COLEMAN	0.006	8,754 	891
COLIN	0.031	45,228 	378
COLLIN	0.009	13,131 	739
COLTON	0.004	5,836 	1160
COLUMBUS	0.005	7,295 	1026
CONNIE	0.005	7,295 	967
CONRAD	0.022	32,097 	456
CORDELL	0.004	5,836 	1116
COREY	0.098	142,978 	182
CORNELIUS	0.021	30,638 	461
CORNELL	0.008	11,672 	787
CORTEZ	0.004	5,836 	1154
CORY	0.068	99,209 	229
COURTNEY	0.019	27,720 	488
COY	0.01	14,590 	693
CRAIG	0.206	300,546 	90
CRISTOBAL	0.004	5,836 	1095
CRISTOPHER	0.004	5,836 	1153
CRUZ	0.009	13,131 	724
CURT	0.015	21,884 	561
CURTIS	0.18	262,613 	112
CYRIL	0.007	10,213 	797
CYRUS	0.007	10,213 	796
DALE	0.184	268,449 	109
DALLAS	0.024	35,015 	424
DALTON	0.008	11,672 	765
DAMIAN	0.016	23,343 	548
DAMIEN	0.014	20,425 	578
DAMION	0.005	7,295 	988
DAMON	0.034	49,605 	357
DAN	0.101	147,355 	179
DANA	0.042	61,276 	314
DANE	0.012	17,508 	621
DANIAL	0.008	11,672 	747
DANIEL	0.974	1,421,028 	12
DANILO	0.004	5,836 	1089
DANNIE	0.005	7,295 	956
DANNY	0.19	277,203 	101
DANTE	0.01	14,590 	691
DARELL	0.004	5,836 	1217
DAREN	0.008	11,672 	777
DARIN	0.02	29,179 	469
DARIO	0.005	7,295 	976
DARIUS	0.013	18,966 	606
DARNELL	0.02	29,179 	476
DARON	0.004	5,836 	1057
DARREL	0.022	32,097 	447
DARRELL	0.108	157,568 	165
DARREN	0.064	93,374 	243
DARRICK	0.005	7,295 	1012
DARRIN	0.019	27,720 	480
DARRON	0.004	5,836 	1067
DARRYL	0.067	97,750 	232
DARWIN	0.014	20,425 	583
DARYL	0.05	72,948 	281
DAVE	0.053	77,325 	271
DAVID	2.363	3,447,525 	6
DAVIS	0.01	14,590 	684
DEAN	0.104	151,732 	173
DEANDRE	0.006	8,754 	896
DEANGELO	0.004	5,836 	1144
DEE	0.005	7,295 	978
DEL	0.004	5,836 	1122
DELBERT	0.031	45,228 	377
DELMAR	0.009	13,131 	717
DELMER	0.005	7,295 	975
DEMARCUS	0.005	7,295 	1017
DEMETRIUS	0.017	24,802 	527
DENIS	0.014	20,425 	577
DENNIS	0.415	605,469 	40
DENNY	0.01	14,590 	683
DENVER	0.009	13,131 	740
DEON	0.006	8,754 	909
DEREK	0.112	163,404 	163
DERICK	0.011	16,049 	647
DERRICK	0.103	150,273 	178
DESHAWN	0.004	5,836 	1084
DESMOND	0.014	20,425 	581
DEVIN	0.028	40,851 	395
DEVON	0.014	20,425 	566
DEWAYNE	0.018	26,261 	502
DEWEY	0.023	33,556 	434
DEWITT	0.006	8,754 	918
DEXTER	0.021	30,638 	466
DICK	0.009	13,131 	721
DIEGO	0.011	16,049 	640
DILLON	0.005	7,295 	964
DINO	0.006	8,754 	893
DION	0.01	14,590 	690
DIRK	0.008	11,672 	750
DOMENIC	0.004	5,836 	1066
DOMINGO	0.019	27,720 	493
DOMINIC	0.032	46,687 	374
DOMINICK	0.019	27,720 	486
DOMINIQUE	0.008	11,672 	768
DON	0.145	211,549 	135
DONALD	0.931	1,358,293 	15
DONG	0.004	5,836 	1065
DONN	0.006	8,754 	933
DONNELL	0.01	14,590 	681
DONNIE	0.041	59,817 	315
DONNY	0.009	13,131 	709
DONOVAN	0.01	14,590 	667
DONTE	0.005	7,295 	1033
DORIAN	0.006	8,754 	870
DORSEY	0.004	5,836 	1216
DOUG	0.04	58,358 	323
DOUGLAS	0.367	535,439 	45
DOUGLASS	0.004	5,836 	1115
DOYLE	0.022	32,097 	446
DREW	0.024	35,015 	431
DUANE	0.077	112,340 	215
DUDLEY	0.009	13,131 	700
DUNCAN	0.007	10,213 	803
DUSTIN	0.103	150,273 	176
DUSTY	0.007	10,213 	832
DWAIN	0.005	7,295 	1032
DWAYNE	0.059	86,079 	256
DWIGHT	0.058	84,620 	257
DYLAN	0.016	23,343 	546
EARL	0.193	281,580 	98
EARLE	0.006	8,754 	853
EARNEST	0.031	45,228 	380
ED	0.032	46,687 	373
EDDIE	0.144	210,090 	136
EDDY	0.01	14,590 	676
EDGAR	0.08	116,717 	209
EDGARDO	0.006	8,754 	928
EDISON	0.004	5,836 	1083
EDMOND	0.019	27,720 	500
EDMUND	0.03	43,769 	387
EDMUNDO	0.004	5,836 	1198
EDUARDO	0.047	68,571 	296
EDWARD	0.779	1,136,531 	19
EDWARDO	0.008	11,672 	769
EDWIN	0.148	215,926 	134
EFRAIN	0.017	24,802 	521
EFREN	0.006	8,754 	887
ELBERT	0.022	32,097 	454
ELDEN	0.004	5,836 	1215
ELDON	0.017	24,802 	529
ELDRIDGE	0.004	5,836 	1152
ELI	0.016	23,343 	534
ELIAS	0.022	32,097 	452
ELIJAH	0.019	27,720 	491
ELISEO	0.006	8,754 	884
ELISHA	0.004	5,836 	1204
ELLIOT	0.014	20,425 	582
ELLIOTT	0.014	20,425 	572
ELLIS	0.024	35,015 	423
ELLSWORTH	0.004	5,836 	1118
ELMER	0.074	107,963 	218
ELMO	0.006	8,754 	863
ELOY	0.006	8,754 	869
ELROY	0.004	5,836 	1078
ELTON	0.016	23,343 	544
ELVIN	0.013	18,966 	595
ELVIS	0.01	14,590 	663
ELWOOD	0.013	18,966 	604
EMANUEL	0.019	27,720 	498
EMERSON	0.008	11,672 	760
EMERY	0.01	14,590 	686
EMIL	0.019	27,720 	501
EMILE	0.006	8,754 	862
EMILIO	0.019	27,720 	490
EMMANUEL	0.018	26,261 	512
EMMETT	0.019	27,720 	496
EMMITT	0.004	5,836 	1056
EMORY	0.008	11,672 	743
ENOCH	0.005	7,295 	1007
ENRIQUE	0.046	67,112 	298
ERASMO	0.004	5,836 	1101
ERIC	0.544	793,675 	33
ERICH	0.007	10,213 	808
ERICK	0.023	33,556 	443
ERIK	0.068	99,209 	231
ERIN	0.007	10,213 	802
ERNEST	0.215	313,677 	86
ERNESTO	0.037	53,982 	335
ERNIE	0.015	21,884 	560
ERROL	0.008	11,672 	764
ERVIN	0.023	33,556 	433
ERWIN	0.015	21,884 	555
ESTEBAN	0.013	18,966 	590
ETHAN	0.017	24,802 	528
EUGENE	0.23	335,561 	80
EUGENIO	0.007	10,213 	838
EUSEBIO	0.004	5,836 	1064
EVAN	0.042	61,276 	312
EVERETT	0.057	83,161 	261
EVERETTE	0.006	8,754 	866
EZEKIEL	0.004	5,836 	1075
EZEQUIEL	0.004	5,836 	1100
EZRA	0.007	10,213 	847
FABIAN	0.012	17,508 	630
FAUSTINO	0.006	8,754 	924
FAUSTO	0.004	5,836 	1132
FEDERICO	0.01	14,590 	678
FELIPE	0.032	46,687 	370
FELIX	0.058	84,620 	259
FELTON	0.004	5,836 	1099
FERDINAND	0.007	10,213 	845
FERMIN	0.005	7,295 	1038
FERNANDO	0.065	94,832 	238
FIDEL	0.012	17,508 	610
FILIBERTO	0.004	5,836 	1143
FLETCHER	0.008	11,672 	762
FLORENCIO	0.005	7,295 	1011
FLORENTINO	0.004	5,836 	1077
FLOYD	0.107	156,109 	167
FOREST	0.007	10,213 	817
FORREST	0.027	39,392 	401
FOSTER	0.006	8,754 	923
FRANCES	0.005	7,295 	962
FRANCESCO	0.004	5,836 	1138
FRANCIS	0.16	233,434 	127
FRANCISCO	0.124	180,911 	145
FRANK	0.581	847,656 	31
FRANKIE	0.023	33,556 	444
FRANKLIN	0.077	112,340 	216
FRANKLYN	0.004	5,836 	1197
FRED	0.251	366,199 	71
FREDDIE	0.046	67,112 	299
FREDDY	0.016	23,343 	533
FREDERIC	0.009	13,131 	720
FREDERICK	0.154	224,680 	131
FREDRIC	0.005	7,295 	992
FREDRICK	0.043	62,735 	303
FREEMAN	0.007	10,213 	801
FRITZ	0.006	8,754 	905
GABRIEL	0.073	106,504 	220
GAIL	0.006	8,754 	868
GALE	0.008	11,672 	784
GALEN	0.009	13,131 	714
GARFIELD	0.005	7,295 	1049
GARLAND	0.017	24,802 	518
GARRET	0.004	5,836 	1131
GARRETT	0.029	42,310 	388
GARRY	0.032	46,687 	367
GARTH	0.007	10,213 	795
GARY	0.65	948,325 	26
GASTON	0.004	5,836 	1142
GAVIN	0.01	14,590 	685
GAYLE	0.004	5,836 	1130
GAYLORD	0.004	5,836 	1141
GENARO	0.008	11,672 	783
GENE	0.087	126,930 	200
GEOFFREY	0.032	46,687 	368
GEORGE	0.927	1,352,457 	16
GERALD	0.309	450,819 	58
GERALDO	0.005	7,295 	1024
GERARD	0.04	58,358 	322
GERARDO	0.032	46,687 	372
GERMAN	0.008	11,672 	756
GERRY	0.011	16,049 	649
GIL	0.006	8,754 	883
GILBERT	0.089	129,848 	199
GILBERTO	0.024	35,015 	425
GINO	0.006	8,754 	927
GIOVANNI	0.007	10,213 	794
GIUSEPPE	0.005	7,295 	1016
GLEN	0.094	137,142 	188
GLENN	0.167	243,647 	117
GONZALO	0.011	16,049 	646
GORDON	0.104	151,732 	172
GRADY	0.021	30,638 	459
GRAHAM	0.012	17,508 	633
GRAIG	0.004	5,836 	1196
GRANT	0.036	52,523 	343
GRANVILLE	0.004	5,836 	1146
GREG	0.104	151,732 	174
GREGG	0.029	42,310 	392
GREGORIO	0.014	20,425 	585
GREGORY	0.441	643,402 	37
GROVER	0.016	23,343 	543
GUADALUPE	0.026	37,933 	405
GUILLERMO	0.031	45,228 	379
GUS	0.011	16,049 	637
GUSTAVO	0.025	36,474 	418
GUY	0.06	87,538 	252
HAI	0.004	5,836 	1214
HAL	0.013	18,966 	601
HANK	0.005	7,295 	983
HANS	0.015	21,884 	557
HARLAN	0.014	20,425 	580
HARLAND	0.004	5,836 	1180
HARLEY	0.017	24,802 	526
HAROLD	0.371	541,275 	44
HARRIS	0.009	13,131 	730
HARRISON	0.014	20,425 	568
HARRY	0.251	366,199 	70
HARVEY	0.072	105,045 	225
HASSAN	0.005	7,295 	1015
HAYDEN	0.004	5,836 	1179
HAYWOOD	0.004	5,836 	1074
HEATH	0.017	24,802 	524
HECTOR	0.094	137,142 	189
HENRY	0.365	532,521 	46
HERB	0.004	5,836 	1109
HERBERT	0.155	226,139 	130
HERIBERTO	0.01	14,590 	680
HERMAN	0.097	141,519 	183
HERSCHEL	0.007	10,213 	792
HERSHEL	0.006	8,754 	876
HILARIO	0.005	7,295 	950
HILTON	0.005	7,295 	1031
HIPOLITO	0.005	7,295 	1037
HIRAM	0.01	14,590 	666
HOBERT	0.004	5,836 	1187
HOLLIS	0.009	13,131 	707
HOMER	0.04	58,358 	321
HONG	0.004	5,836 	1126
HORACE	0.036	52,523 	344
HORACIO	0.005	7,295 	972
HOSEA	0.004	5,836 	1163
HOUSTON	0.008	11,672 	779
HOWARD	0.23	335,561 	79
HOYT	0.004	5,836 	1073
HUBERT	0.039	56,899 	325
HUEY	0.005	7,295 	1030
HUGH	0.06	87,538 	254
HUGO	0.023	33,556 	438
HUMBERTO	0.018	26,261 	511
HUNG	0.008	11,672 	789
HUNTER	0.009	13,131 	735
HYMAN	0.004	5,836 	1098
IAN	0.056	81,702 	263
IGNACIO	0.023	33,556 	439
IKE	0.004	5,836 	1105
IRA	0.035	51,064 	351
IRVIN	0.02	29,179 	473
IRVING	0.026	37,933 	407
IRWIN	0.009	13,131 	723
ISAAC	0.051	74,407 	277
ISAIAH	0.011	16,049 	635
ISAIAS	0.005	7,295 	1036
ISIAH	0.006	8,754 	861
ISIDRO	0.009	13,131 	715
ISMAEL	0.024	35,015 	429
ISRAEL	0.028	40,851 	399
ISREAL	0.004	5,836 	1129
ISSAC	0.01	14,590 	698
IVAN	0.053	77,325 	272
IVORY	0.006	8,754 	899
JACINTO	0.004	5,836 	1195
JACK	0.315	459,573 	53
JACKIE	0.043	62,735 	306
JACKSON	0.012	17,508 	615
JACOB	0.165	240,729 	122
JACQUES	0.008	11,672 	763
JAE	0.004	5,836 	1140
JAIME	0.055	80,243 	267
JAKE	0.025	36,474 	419
JAMAAL	0.006	8,754 	917
JAMAL	0.014	20,425 	565
JAMAR	0.006	8,754 	859
JAME	0.008	11,672 	782
JAMEL	0.007	10,213 	822
JAMES	3.318	4,840,833 	1
JAMEY	0.005	7,295 	1042
JAMIE	0.066	96,291 	233
JAMISON	0.005	7,295 	1010
JAN	0.019	27,720 	489
JARED	0.071	103,586 	226
JAROD	0.004	5,836 	1108
JARRED	0.006	8,754 	932
JARRETT	0.007	10,213 	828
JARROD	0.014	20,425 	575
JARVIS	0.01	14,590 	696
JASON	0.66	962,914 	24
JASPER	0.015	21,884 	553
JAVIER	0.065	94,832 	237
JAY	0.118	172,157 	152
JAYSON	0.01	14,590 	689
JC	0.004	5,836 	1072
JEAN	0.035	51,064 	350
JED	0.005	7,295 	961
JEFF	0.166	242,188 	120
JEFFEREY	0.005	7,295 	999
JEFFERSON	0.01	14,590 	662
JEFFERY	0.166	242,188 	118
JEFFREY	0.591	862,246 	30
JEFFRY	0.012	17,508 	620
JERALD	0.019	27,720 	499
JERAMY	0.004	5,836 	1203
JERE	0.004	5,836 	1213
JEREMIAH	0.042	61,276 	311
JEREMY	0.242	353,069 	76
JERMAINE	0.028	40,851 	400
JEROLD	0.006	8,754 	904
JEROME	0.108	157,568 	166
JEROMY	0.004	5,836 	1186
JERRELL	0.004	5,836 	1185
JERROD	0.006	8,754 	874
JERROLD	0.005	7,295 	981
JERRY	0.432	630,271 	39
JESS	0.018	26,261 	509
JESSE	0.209	304,923 	89
JESSIE	0.065	94,832 	235
JESUS	0.155	226,139 	129
JEWEL	0.004	5,836 	1212
JEWELL	0.004	5,836 	1178
JIM	0.118	172,157 	153
JIMMIE	0.058	84,620 	260
JIMMY	0.191	278,662 	99
JOAN	0.008	11,672 	759
JOAQUIN	0.014	20,425 	579
JODY	0.024	35,015 	432
JOE	0.321	468,327 	51
JOEL	0.152	221,762 	133
JOESPH	0.012	17,508 	622
JOEY	0.043	62,735 	307
JOHN	3.271	4,772,262 	2
JOHNATHAN	0.034	49,605 	354
JOHNATHON	0.009	13,131 	718
JOHNIE	0.007	10,213 	827
JOHNNIE	0.052	75,866 	273
JOHNNY	0.195	284,497 	97
JOHNSON	0.004	5,836 	1128
JON	0.115	167,781 	157
JONAH	0.005	7,295 	980
JONAS	0.007	10,213 	816
JONATHAN	0.313	456,655 	55
JONATHON	0.032	46,687 	369
JORDAN	0.056	81,702 	262
JORDON	0.004	5,836 	1088
JORGE	0.104	151,732 	175
JOSE	0.613	894,343 	28
JOSEF	0.006	8,754 	867
JOSEPH	1.404	2,048,382 	9
JOSH	0.023	33,556 	437
JOSHUA	0.435	634,648 	38
JOSIAH	0.006	8,754 	913
JOSPEH	0.004	5,836 	1159
JOSUE	0.008	11,672 	767
JUAN	0.316	461,032 	52
JUDE	0.004	5,836 	1114
JUDSON	0.006	8,754 	926
JULES	0.006	8,754 	882
JULIAN	0.052	75,866 	276
JULIO	0.063	91,915 	247
JULIUS	0.042	61,276 	313
JUNIOR	0.016	23,343 	532
JUSTIN	0.311	453,737 	56
KAREEM	0.006	8,754 	858
KARL	0.069	100,668 	228
KASEY	0.004	5,836 	1177
KEENAN	0.005	7,295 	1021
KEITH	0.308	449,360 	59
KELLEY	0.004	5,836 	1082
KELLY	0.063	91,915 	248
KELVIN	0.034	49,605 	358
KEN	0.055	80,243 	265
KENDALL	0.016	23,343 	538
KENDRICK	0.013	18,966 	605
KENETH	0.004	5,836 	1194
KENNETH	0.826	1,205,102 	17
KENNITH	0.007	10,213 	804
KENNY	0.039	56,899 	324
KENT	0.048	70,030 	293
KENTON	0.005	7,295 	987
KERMIT	0.013	18,966 	588
KERRY	0.036	52,523 	346
KEVEN	0.005	7,295 	949
KEVIN	0.671	978,963 	23
KIETH	0.006	8,754 	898
KIM	0.028	40,851 	397
KING	0.004	5,836 	1055
KIP	0.005	7,295 	995
KIRBY	0.009	13,131 	722
KIRK	0.049	71,489 	288
KOREY	0.004	5,836 	1158
KORY	0.005	7,295 	947
KRAIG	0.004	5,836 	1184
KRIS	0.011	16,049 	634
KRISTOFER	0.004	5,836 	1173
KRISTOPHER	0.025	36,474 	414
KURT	0.062	90,456 	249
KURTIS	0.009	13,131 	734
KYLE	0.16	233,434 	126
LACY	0.004	5,836 	1063
LAMAR	0.021	30,638 	462
LAMONT	0.017	24,802 	516
LANCE	0.063	91,915 	245
LANDON	0.008	11,672 	749
LANE	0.009	13,131 	729
LANNY	0.006	8,754 	857
LARRY	0.598	872,459 	29
LAUREN	0.004	5,836 	1202
LAURENCE	0.024	35,015 	428
LAVERN	0.006	8,754 	880
LAVERNE	0.008	11,672 	788
LAWERENCE	0.005	7,295 	1052
LAWRENCE	0.282	411,427 	63
LAZARO	0.007	10,213 	823
LEANDRO	0.004	5,836 	1183
LEE	0.162	236,352 	123
LEIF	0.004	5,836 	1201
LEIGH	0.004	5,836 	1127
LELAND	0.027	39,392 	403
LEMUEL	0.006	8,754 	879
LEN	0.004	5,836 	1104
LENARD	0.005	7,295 	941
LENNY	0.005	7,295 	968
LEO	0.106	154,650 	168
LEON	0.112	163,404 	162
LEONARD	0.186	271,367 	107
LEONARDO	0.015	21,884 	552
LEONEL	0.008	11,672 	742
LEOPOLDO	0.006	8,754 	865
LEROY	0.125	182,370 	144
LES	0.006	8,754 	895
LESLEY	0.004	5,836 	1172
LESLIE	0.081	118,176 	208
LESTER	0.091	132,765 	194
LEVI	0.025	36,474 	416
LEWIS	0.099	144,437 	180
LINCOLN	0.008	11,672 	781
LINDSAY	0.004	5,836 	1211
LINDSEY	0.007	10,213 	834
LINO	0.004	5,836 	1107
LINWOOD	0.009	13,131 	711
LIONEL	0.024	35,015 	420
LLOYD	0.112	163,404 	160
LOGAN	0.017	24,802 	523
LON	0.007	10,213 	800
LONG	0.004	5,836 	1157
LONNIE	0.064	93,374 	244
LONNY	0.004	5,836 	1103
LOREN	0.032	46,687 	376
LORENZO	0.036	52,523 	339
LOU	0.005	7,295 	1025
LOUIE	0.018	26,261 	514
LOUIS	0.243	354,528 	75
LOWELL	0.029	42,310 	391
LOYD	0.011	16,049 	639
LUCAS	0.031	45,228 	381
LUCIANO	0.007	10,213 	833
LUCIEN	0.007	10,213 	844
LUCIO	0.006	8,754 	873
LUCIUS	0.004	5,836 	1171
LUIGI	0.004	5,836 	1193
LUIS	0.189	275,744 	104
LUKE	0.04	58,358 	320
LUPE	0.005	7,295 	971
LUTHER	0.043	62,735 	309
LYLE	0.038	55,441 	328
LYMAN	0.006	8,754 	912
LYNDON	0.005	7,295 	1020
LYNN	0.038	55,441 	330
LYNWOOD	0.004	5,836 	1210
MAC	0.005	7,295 	979
MACK	0.025	36,474 	415
MAJOR	0.007	10,213 	826
MALCOLM	0.034	49,605 	355
MALCOM	0.004	5,836 	1156
MALIK	0.004	5,836 	1148
MAN	0.004	5,836 	1176
MANUAL	0.004	5,836 	1139
