Name  	% Frequency  	Approx Number  	Rank
CLEOTILDE	0.001	1,518 	3822
CLETA	0.003	4,554 	1788
CLORA	0.001	1,518 	3334
CLORINDA	0.001	1,518 	3176
CLOTILDE	0.002	3,036 	2545
CLYDE	0.003	4,554 	2060
CODI	0.001	1,518 	4254
CODY	0.002	3,036 	2373
COLBY	0.001	1,518 	4081
COLEEN	0.009	13,663 	917
COLENE	0.001	1,518 	3821
COLETTA	0.002	3,036 	2916
COLETTE	0.011	16,699 	850
COLLEEN	0.092	139,664 	227
COLLEN	0.002	3,036 	2574
COLLENE	0.001	1,518 	4253
COLLETTE	0.005	7,590 	1408
CONCEPCION	0.014	21,253 	748
CONCEPTION	0.001	1,518 	3333
CONCETTA	0.009	13,663 	977
CONCHA	0.001	1,518 	4080
CONCHITA	0.002	3,036 	2347
CONNIE	0.2	303,618 	106
CONSTANCE	0.091	138,146 	232
CONSUELA	0.002	3,036 	2346
CONSUELO	0.022	33,398 	577
CONTESSA	0.001	1,518 	3820
CORA	0.058	88,049 	308
CORAL	0.004	6,072 	1591
CORALEE	0.001	1,518 	3139
CORALIE	0.001	1,518 	3519
CORAZON	0.003	4,554 	2085
CORDELIA	0.005	7,590 	1327
CORDIA	0.001	1,518 	3819
CORDIE	0.002	3,036 	2915
COREEN	0.002	3,036 	2345
CORENE	0.003	4,554 	1851
CORETTA	0.002	3,036 	2322
COREY	0.005	7,590 	1379
CORI	0.006	9,109 	1242
CORIE	0.002	3,036 	2573
CORINA	0.01	15,181 	912
CORINE	0.011	16,699 	836
CORINNA	0.004	6,072 	1581
CORINNE	0.024	36,434 	554
CORLISS	0.002	3,036 	2544
CORNELIA	0.015	22,771 	709
CORRIE	0.005	7,590 	1403
CORRIN	0.001	1,518 	4171
CORRINA	0.003	4,554 	1967
CORRINE	0.014	21,253 	746
CORRINNE	0.001	1,518 	3818
CORTNEY	0.008	12,145 	1008
CORY	0.004	6,072 	1529
COURTNEY	0.086	130,556 	245
CREOLA	0.001	1,518 	3277
CRIS	0.001	1,518 	3575
CRISELDA	0.002	3,036 	3042
CRISSY	0.002	3,036 	2693
CRISTA	0.002	3,036 	2284
CRISTAL	0.005	7,590 	1437
CRISTEN	0.002	3,036 	2914
CRISTI	0.003	4,554 	1983
CRISTIE	0.002	3,036 	2884
CRISTIN	0.003	4,554 	2059
CRISTINA	0.033	50,097 	437
CRISTINE	0.004	6,072 	1680
CRISTY	0.006	9,109 	1235
CRUZ	0.006	9,109 	1186
CRYSTA	0.001	1,518 	3898
CRYSTAL	0.207	314,245 	102
CRYSTLE	0.001	1,518 	4079
CUC	0.001	1,518 	3980
CURTIS	0.001	1,518 	4078
CYNDI	0.003	4,554 	1787
CYNDY	0.001	1,518 	3518
CYNTHIA	0.469	711,985 	28
CYRSTAL	0.001	1,518 	4170
CYTHIA	0.003	4,554 	2058
DACIA	0.001	1,518 	3138
DAGMAR	0.002	3,036 	2572
DAGNY	0.001	1,518 	4252
DAHLIA	0.002	3,036 	2344
DAINA	0.001	1,518 	3276
DAINE	0.001	1,518 	4169
DAISEY	0.002	3,036 	2372
DAISY	0.062	94,122 	295
DAKOTA	0.001	1,518 	4077
DALE	0.016	24,289 	696
DALENE	0.001	1,518 	3574
DALIA	0.006	9,109 	1201
DALILA	0.002	3,036 	2371
DALLAS	0.002	3,036 	2167
DAMARIS	0.006	9,109 	1270
DAN	0.001	1,518 	3817
DANA	0.122	185,207 	179
DANAE	0.002	3,036 	2806
DANELLE	0.005	7,590 	1430
DANETTE	0.007	10,627 	1102
DANI	0.003	4,554 	2016
DANIA	0.002	3,036 	2146
DANICA	0.003	4,554 	1915
DANIEL	0.005	7,590 	1321
DANIELA	0.007	10,627 	1146
DANIELE	0.003	4,554 	2015
DANIELL	0.001	1,518 	3087
DANIELLA	0.004	6,072 	1580
DANIELLE	0.149	226,196 	150
DANIKA	0.002	3,036 	2913
DANILLE	0.001	1,518 	3137
DANITA	0.005	7,590 	1280
DANN	0.001	1,518 	3897
DANNA	0.007	10,627 	1108
DANNETTE	0.002	3,036 	2838
DANNIE	0.001	1,518 	3332
DANNIELLE	0.003	4,554 	2038
DANUTA	0.002	3,036 	2912
DANYEL	0.001	1,518 	3223
DANYELL	0.001	1,518 	3136
DANYELLE	0.003	4,554 	2108
DAPHINE	0.002	3,036 	2543
DAPHNE	0.019	28,844 	618
DARA	0.007	10,627 	1155
DARBY	0.002	3,036 	2883
DARCEL	0.001	1,518 	3733
DARCEY	0.001	1,518 	3979
DARCI	0.004	6,072 	1631
DARCIE	0.003	4,554 	1776
DARCY	0.012	18,217 	802
DARIA	0.004	6,072 	1579
DARLA	0.029	44,025 	471
DARLEEN	0.005	7,590 	1370
DARLENA	0.001	1,518 	3444
DARLENE	0.142	215,569 	157
DARLINE	0.003	4,554 	1775
DARNELL	0.002	3,036 	2343
DARYL	0.002	3,036 	2370
DAVID	0.006	9,109 	1269
DAVIDA	0.003	4,554 	1825
DAVINA	0.003	4,554 	1750
DAWN	0.202	306,654 	105
DAWNA	0.004	6,072 	1479
DAWNE	0.002	3,036 	2760
DAYLE	0.002	3,036 	2489
DAYNA	0.008	12,145 	1053
DAYSI	0.001	1,518 	4076
DEADRA	0.001	1,518 	3443
DEAN	0.003	4,554 	1701
DEANA	0.016	24,289 	684
DEANDRA	0.002	3,036 	2571
DEANDREA	0.001	1,518 	3816
DEANE	0.002	3,036 	2759
DEANN	0.008	12,145 	988
DEANNA	0.076	115,375 	261
DEANNE	0.011	16,699 	842
DEB	0.003	4,554 	1700
DEBBI	0.002	3,036 	2231
DEBBIE	0.157	238,340 	141
DEBBRA	0.003	4,554 	2037
DEBBY	0.007	10,627 	1092
DEBERA	0.001	1,518 	3815
DEBI	0.005	7,590 	1442
DEBORA	0.022	33,398 	580
DEBORAH	0.494	749,937 	25
DEBRA	0.408	619,381 	39
DEBRAH	0.005	7,590 	1402
DEBROAH	0.002	3,036 	2462
DEDE	0.001	1,518 	3896
DEDRA	0.003	4,554 	1763
DEE	0.016	24,289 	698
DEEANN	0.002	3,036 	2321
DEEANNA	0.001	1,518 	3978
DEEDEE	0.001	1,518 	3331
DEEDRA	0.001	1,518 	3391
DEENA	0.01	15,181 	897
DEETTA	0.001	1,518 	4168
DEIDRA	0.008	12,145 	1012
DEIDRE	0.01	15,181 	871
DEIRDRE	0.01	15,181 	878
DEJA	0.001	1,518 	3895
DELAINE	0.001	1,518 	3086
DELANA	0.002	3,036 	2430
DELCIE	0.001	1,518 	3977
DELENA	0.002	3,036 	2882
DELFINA	0.005	7,590 	1363
DELIA	0.029	44,025 	462
DELICIA	0.002	3,036 	2837
DELILA	0.001	1,518 	4075
DELILAH	0.007	10,627 	1095
DELINDA	0.002	3,036 	2342
DELISA	0.002	3,036 	2461
DELL	0.002	3,036 	2523
DELLA	0.043	65,278 	376
DELMA	0.007	10,627 	1071
DELMY	0.001	1,518 	3894
DELOIS	0.006	9,109 	1181
DELOISE	0.001	1,518 	3330
DELORA	0.003	4,554 	2084
DELORAS	0.001	1,518 	4074
DELORES	0.095	144,219 	222
DELORIS	0.025	37,952 	515
DELORSE	0.001	1,518 	3659
DELPHA	0.002	3,036 	2961
DELPHIA	0.003	4,554 	1941
DELPHINE	0.007	10,627 	1105
DELSIE	0.001	1,518 	3390
DELTA	0.002	3,036 	2197
DEMETRA	0.003	4,554 	1762
DEMETRIA	0.007	10,627 	1070
DEMETRICE	0.002	3,036 	2881
DEMETRIUS	0.001	1,518 	3135
DENA	0.022	33,398 	571
DENAE	0.001	1,518 	3732
DENEEN	0.003	4,554 	1995
DENESE	0.002	3,036 	2880
DENICE	0.008	12,145 	1004
DENISE	0.264	400,776 	74
DENISHA	0.002	3,036 	2758
DENISSE	0.001	1,518 	4073
DENITA	0.002	3,036 	2166
DENNA	0.003	4,554 	1982
DENNIS	0.002	3,036 	2401
DENNISE	0.002	3,036 	2145
DENNY	0.001	1,518 	4167
DENYSE	0.001	1,518 	4166
DEON	0.001	1,518 	3329
DEONNA	0.001	1,518 	3442
DESIRAE	0.003	4,554 	2083
DESIRE	0.002	3,036 	2592
DESIREE	0.035	53,133 	425
DESPINA	0.001	1,518 	3389
DESSIE	0.008	12,145 	1024
DESTINY	0.007	10,627 	1074
DETRA	0.002	3,036 	2619
DEVIN	0.004	6,072 	1606
DEVON	0.007	10,627 	1154
DEVONA	0.002	3,036 	2429
DEVORA	0.002	3,036 	3041
DEVORAH	0.002	3,036 	2996
DIA	0.001	1,518 	4072
DIAMOND	0.002	3,036 	2283
DIAN	0.004	6,072 	1468
DIANA	0.216	327,908 	96
DIANE	0.359	544,995 	50
DIANN	0.009	13,663 	952
DIANNA	0.036	54,651 	418
DIANNE	0.069	104,748 	279
DIEDRA	0.002	3,036 	2757
DIEDRE	0.002	3,036 	2879
DIERDRE	0.001	1,518 	3731
DIGNA	0.002	3,036 	2522
DIMPLE	0.002	3,036 	3040
DINA	0.022	33,398 	583
DINAH	0.007	10,627 	1145
DINORAH	0.001	1,518 	3658
DION	0.001	1,518 	4071
DIONE	0.002	3,036 	2591
DIONNA	0.002	3,036 	2805
DIONNE	0.009	13,663 	945
DIVINA	0.001	1,518 	4251
DIXIE	0.028	42,507 	481
DODIE	0.001	1,518 	4070
DOLLIE	0.011	16,699 	825
DOLLY	0.016	24,289 	692
DOLORES	0.129	195,834 	171
DOLORIS	0.002	3,036 	2804
DOMENICA	0.003	4,554 	2036
DOMINGA	0.006	9,109 	1223
DOMINICA	0.001	1,518 	3275
DOMINIQUE	0.016	24,289 	672
DOMINQUE	0.002	3,036 	2428
DOMITILA	0.001	1,518 	3274
DOMONIQUE	0.002	3,036 	2836
DONA	0.014	21,253 	752
DONALD	0.002	3,036 	2654
DONELLA	0.001	1,518 	3657
DONETTA	0.002	3,036 	2756
DONETTE	0.001	1,518 	3976
DONG	0.001	1,518 	3893
DONITA	0.004	6,072 	1504
DONNA	0.583	885,047 	17
DONNETTA	0.001	1,518 	3730
DONNETTE	0.001	1,518 	3729
DONNIE	0.005	7,590 	1395
DONYA	0.002	3,036 	2835
DORA	0.084	127,520 	249
DORATHY	0.002	3,036 	2590
DORCAS	0.005	7,590 	1388
DOREATHA	0.001	1,518 	4165
DOREEN	0.035	53,133 	422
DORENE	0.005	7,590 	1279
DORETHA	0.008	12,145 	1010
DORETHEA	0.001	1,518 	4164
DORETTA	0.001	1,518 	3085
DORI	0.004	6,072 	1630
DORIA	0.001	1,518 	3656
DORIAN	0.002	3,036 	2165
DORIE	0.002	3,036 	2878
DORINDA	0.004	6,072 	1503
DORINE	0.002	3,036 	2261
DORIS	0.335	508,560 	55
DORLA	0.001	1,518 	3892
DOROTHA	0.003	4,554 	2014
DOROTHEA	0.021	31,880 	587
DOROTHY	0.727	1,103,652 	10
DORRIS	0.006	9,109 	1200
DORTHA	0.005	7,590 	1436
DORTHEA	0.003	4,554 	1900
DORTHEY	0.001	1,518 	3655
DORTHY	0.025	37,952 	527
DOT	0.002	3,036 	2521
DOTTIE	0.007	10,627 	1062
DOTTY	0.001	1,518 	3517
DOVIE	0.005	7,590 	1291
DREAMA	0.002	3,036 	2692
DREMA	0.002	3,036 	2960
DREW	0.001	1,518 	3273
DRUCILLA	0.002	3,036 	2230
DRUSILLA	0.002	3,036 	2589
DULCE	0.005	7,590 	1448
DULCIE	0.001	1,518 	3573
DUNG	0.002	3,036 	2803
DUSTI	0.001	1,518 	3516
DUSTY	0.003	4,554 	2082
DWANA	0.001	1,518 	3891
DYAN	0.002	3,036 	2877
EARLEAN	0.002	3,036 	2542
EARLEEN	0.002	3,036 	2653
EARLENE	0.012	18,217 	811
EARLIE	0.001	1,518 	3572
EARLINE	0.014	21,253 	740
EARNESTINE	0.012	18,217 	803
EARTHA	0.003	4,554 	1879
EASTER	0.005	7,590 	1447
EBONI	0.003	4,554 	1850
EBONIE	0.001	1,518 	3175
EBONY	0.027	40,988 	492
ECHO	0.002	3,036 	2995
EDA	0.003	4,554 	1953
EDDA	0.002	3,036 	2959
EDDIE	0.011	16,699 	857
EDELMIRA	0.003	4,554 	2098
EDEN	0.003	4,554 	1878
EDIE	0.004	6,072 	1553
EDITH	0.179	271,738 	117
EDNA	0.197	299,064 	109
EDRA	0.001	1,518 	4163
EDRIS	0.001	1,518 	3728
EDWARD	0.002	3,036 	2834
EDWINA	0.011	16,699 	821
EDYTH	0.001	1,518 	3441
EDYTHE	0.008	12,145 	1045
EFFIE	0.024	36,434 	529
EHTEL	0.001	1,518 	3571
EILEEN	0.105	159,400 	205
EILENE	0.001	1,518 	3328
ELA	0.001	1,518 	3440
ELADIA	0.001	1,518 	4069
ELAINA	0.004	6,072 	1646
ELAINE	0.173	262,630 	127
ELANA	0.003	4,554 	1899
ELANE	0.001	1,518 	3570
ELANOR	0.002	3,036 	2911
ELAYNE	0.002	3,036 	2341
ELBA	0.008	12,145 	984
ELDA	0.008	12,145 	1035
ELDORA	0.003	4,554 	1981
ELEANOR	0.15	227,714 	148
ELEANORA	0.003	4,554 	2057
ELEANORE	0.007	10,627 	1080
ELEASE	0.002	3,036 	2301
ELENA	0.037	56,169 	412
ELENE	0.001	1,518 	3975
ELENI	0.002	3,036 	2618
ELENOR	0.004	6,072 	1502
ELENORA	0.002	3,036 	2184
ELENORE	0.001	1,518 	3084
ELEONOR	0.001	1,518 	3814
ELEONORA	0.001	1,518 	3890
ELEONORE	0.001	1,518 	3654
ELFREDA	0.001	1,518 	3974
ELFRIEDA	0.001	1,518 	3222
ELFRIEDE	0.003	4,554 	1877
ELIA	0.007	10,627 	1091
ELIANA	0.002	3,036 	2725
ELICIA	0.002	3,036 	2520
ELIDA	0.007	10,627 	1068
ELIDIA	0.001	1,518 	4162
ELIN	0.001	1,518 	3727
ELINA	0.001	1,518 	3221
ELINOR	0.012	18,217 	798
ELINORE	0.001	1,518 	3388
ELISA	0.027	40,988 	491
ELISABETH	0.023	34,916 	558
ELISE	0.019	28,844 	609
ELISHA	0.008	12,145 	1023
ELISSA	0.006	9,109 	1212
ELIZ	0.001	1,518 	3515
ELIZA	0.015	22,771 	718
ELIZABET	0.001	1,518 	4068
ELIZABETH	0.937	1,422,451 	5
ELIZBETH	0.002	3,036 	2217
ELIZEBETH	0.004	6,072 	1467
ELKE	0.002	3,036 	2588
ELLA	0.101	153,327 	210
ELLAMAE	0.001	1,518 	3514
ELLAN	0.001	1,518 	4161
ELLEN	0.173	262,630 	126
ELLENA	0.001	1,518 	4250
ELLI	0.001	1,518 	4249
ELLIE	0.006	9,109 	1198
ELLIS	0.001	1,518 	4160
ELLY	0.002	3,036 	2802
ELLYN	0.002	3,036 	2488
ELMA	0.017	25,808 	669
ELMER	0.001	1,518 	3813
ELMIRA	0.003	4,554 	1980
ELNA	0.003	4,554 	1749
ELNORA	0.014	21,253 	755
ELODIA	0.002	3,036 	2260
ELOIS	0.002	3,036 	2994
ELOISA	0.007	10,627 	1121
ELOISE	0.032	48,579 	442
ELOUISE	0.006	9,109 	1266
ELSA	0.028	42,507 	477
ELSE	0.002	3,036 	2369
ELSIE	0.11	166,990 	198
ELSY	0.001	1,518 	4067
ELVA	0.024	36,434 	553
ELVERA	0.003	4,554 	1940
ELVIA	0.01	15,181 	876
ELVIE	0.002	3,036 	2570
ELVINA	0.002	3,036 	2910
ELVIRA	0.029	44,025 	460
ELWANDA	0.001	1,518 	3513
ELYSE	0.006	9,109 	1247
ELZA	0.001	1,518 	3653
EMA	0.002	3,036 	2427
EMELDA	0.002	3,036 	2617
EMELIA	0.003	4,554 	2056
EMELINA	0.001	1,518 	3726
EMELINE	0.001	1,518 	3569
EMELY	0.001	1,518 	3439
EMERALD	0.001	1,518 	3134
EMERITA	0.001	1,518 	3174
EMIKO	0.002	3,036 	2569
EMILEE	0.002	3,036 	2144
EMILIA	0.013	19,735 	773
EMILIE	0.008	12,145 	1039
EMILY	0.208	315,763 	99
EMMA	0.165	250,485 	134
EMMALINE	0.001	1,518 	3973
EMMIE	0.002	3,036 	2368
EMMY	0.002	3,036 	2320
EMOGENE	0.003	4,554 	1876
ENA	0.004	6,072 	1673
ENDA	0.001	1,518 	4248
ENEDINA	0.003	4,554 	1739
ENEIDA	0.002	3,036 	2519
ENID	0.009	13,663 	930
ENOLA	0.002	3,036 	2426
ENRIQUETA	0.004	6,072 	1578
EPIFANIA	0.002	3,036 	2876
ERA	0.004	6,072 	1590
ERIC	0.002	3,036 	2425
ERICA	0.13	197,352 	169
ERICKA	0.014	21,253 	753
ERIKA	0.061	92,604 	298
ERIN	0.141	214,051 	160
ERINN	0.002	3,036 	3039
ERLENE	0.002	3,036 	2367
ERLINDA	0.006	9,109 	1185
ERLINE	0.002	3,036 	2833
ERMA	0.041	62,242 	383
ERMELINDA	0.002	3,036 	2801
ERMINIA	0.002	3,036 	3038
ERNA	0.009	13,663 	929
ERNESTINA	0.007	10,627 	1067
ERNESTINE	0.038	57,687 	409
ERYN	0.001	1,518 	3220
ESMERALDA	0.013	19,735 	779
ESPERANZA	0.021	31,880 	590
ESSIE	0.029	44,025 	474
ESTA	0.002	3,036 	2143
ESTEFANA	0.001	1,518 	4066
ESTELA	0.014	21,253 	736
ESTELL	0.002	3,036 	2216
ESTELLA	0.024	36,434 	541
ESTELLE	0.036	54,651 	417
ESTER	0.019	28,844 	620
ESTHER	0.166	252,003 	132
ESTRELLA	0.003	4,554 	1729
ETHA	0.001	1,518 	3272
ETHEL	0.174	264,148 	125
ETHELENE	0.002	3,036 	2832
ETHELYN	0.003	4,554 	1738
ETHYL	0.002	3,036 	2487
ETSUKO	0.001	1,518 	4159
ETTA	0.024	36,434 	536
ETTIE	0.001	1,518 	4158
EUFEMIA	0.001	1,518 	3438
EUGENA	0.001	1,518 	3972
EUGENE	0.002	3,036 	2993
EUGENIA	0.023	34,916 	563
EUGENIE	0.003	4,554 	2081
EULA	0.033	50,097 	438
EULAH	0.001	1,518 	4065
EULALIA	0.005	7,590 	1446
EUN	0.003	4,554 	1835
EUNA	0.001	1,518 	3271
EUNICE	0.054	81,977 	326
EURA	0.001	1,518 	4064
EUSEBIA	0.001	1,518 	3652
EUSTOLIA	0.001	1,518 	3725
EVA	0.159	241,376 	140
EVALYN	0.003	4,554 	1786
EVAN	0.002	3,036 	2992
EVANGELINA	0.009	13,663 	926
EVANGELINE	0.011	16,699 	849
EVE	0.013	19,735 	781
EVELIA	0.003	4,554 	1824
EVELIN	0.002	3,036 	2800
EVELINA	0.002	3,036 	2142
EVELINE	0.002	3,036 	2215
EVELYN	0.322	488,825 	57
EVELYNE	0.002	3,036 	2183
EVELYNN	0.001	1,518 	4247
EVETTE	0.006	9,109 	1265
EVIA	0.001	1,518 	3971
EVIE	0.004	6,072 	1559
EVITA	0.001	1,518 	4063
EVON	0.003	4,554 	1737
EVONNE	0.004	6,072 	1605
EWA	0.001	1,518 	3437
EXIE	0.002	3,036 	2958
FABIOLA	0.005	7,590 	1418
FAE	0.002	3,036 	2991
FAIRY	0.001	1,518 	3568
FAITH	0.028	42,507 	484
FALLON	0.003	4,554 	2127
FANNIE	0.05	75,905 	344
FANNY	0.009	13,663 	974
FARAH	0.002	3,036 	2424
FARRAH	0.004	6,072 	1645
FATIMA	0.007	10,627 	1078
FATIMAH	0.001	1,518 	3651
FAUSTINA	0.002	3,036 	2518
FAVIOLA	0.001	1,518 	4246
FAWN	0.004	6,072 	1487
FAY	0.021	31,880 	585
FAYE	0.058	88,049 	309
FE	0.002	3,036 	2990
FELECIA	0.008	12,145 	992
FELICA	0.003	4,554 	1875
FELICE	0.003	4,554 	1994
FELICIA	0.068	103,230 	283
FELICIDAD	0.001	1,518 	3327
FELICITA	0.006	9,109 	1234
FELICITAS	0.004	6,072 	1649
FELIPA	0.004	6,072 	1536
FELISA	0.003	4,554 	2055
FELISHA	0.004	6,072 	1629
FERMINA	0.001	1,518 	4157
FERN	0.024	36,434 	552
FERNANDA	0.002	3,036 	2517
FERNANDE	0.001	1,518 	3512
FERNE	0.003	4,554 	1849
FIDELA	0.001	1,518 	3511
FIDELIA	0.001	1,518 	4062
FILOMENA	0.006	9,109 	1253
FIONA	0.003	4,554 	1927
FLAVIA	0.002	3,036 	2400
FLETA	0.001	1,518 	3650
FLO	0.002	3,036 	2259
FLOR	0.006	9,109 	1264
FLORA	0.049	74,386 	353
FLORANCE	0.002	3,036 	2399
FLORENCE	0.2	303,618 	107
FLORENCIA	0.002	3,036 	2164
FLORENE	0.003	4,554 	1761
FLORENTINA	0.002	3,036 	2258
FLORETTA	0.002	3,036 	2957
FLORIA	0.001	1,518 	3889
FLORIDA	0.004	6,072 	1628
FLORINDA	0.002	3,036 	2257
FLORINE	0.009	13,663 	970
FLORRIE	0.001	1,518 	3888
FLOSSIE	0.014	21,253 	726
FLOY	0.005	7,590 	1387
FONDA	0.003	4,554 	1728
FRAN	0.011	16,699 	865
FRANCE	0.002	3,036 	2486
FRANCENE	0.001	1,518 	3387
FRANCES	0.37	561,694 	47
FRANCESCA	0.009	13,663 	966
FRANCHESCA	0.001	1,518 	3567
FRANCIE	0.002	3,036 	2956
FRANCINA	0.002	3,036 	2875
FRANCINE	0.025	37,952 	514
FRANCIS	0.039	59,206 	393
FRANCISCA	0.024	36,434 	542
FRANCISCO	0.002	3,036 	2724
FRANCOISE	0.002	3,036 	3037
FRANK	0.002	3,036 	2691
FRANKIE	0.022	33,398 	570
FRANSISCA	0.001	1,518 	4156
FRED	0.001	1,518 	3812
FREDA	0.034	51,615 	432
FREDDA	0.001	1,518 	3811
FREDDIE	0.007	10,627 	1104
FREDERICA	0.002	3,036 	2398
FREDERICKA	0.002	3,036 	2587
FREDIA	0.002	3,036 	2460
FREDRICKA	0.001	1,518 	3649
FREEDA	0.002	3,036 	2397
FREIDA	0.009	13,663 	935
FRIDA	0.001	1,518 	3436
FRIEDA	0.017	25,808 	651
FUMIKO	0.002	3,036 	2799
GABRIEL	0.003	4,554 	2035
GABRIELA	0.018	27,326 	628
GABRIELE	0.002	3,036 	2182
GABRIELLA	0.005	7,590 	1344
GABRIELLE	0.017	25,808 	659
GAIL	0.145	220,123 	155
GALA	0.001	1,518 	3810
GALE	0.016	24,289 	690
GALINA	0.001	1,518 	3648
GARNET	0.004	6,072 	1558
GARNETT	0.002	3,036 	2396
GARY	0.002	3,036 	2541
GAY	0.012	18,217 	795
GAYE	0.005	7,590 	1295
GAYLA	0.008	12,145 	1027
GAYLE	0.043	65,278 	375
GAYLENE	0.002	3,036 	2909
GAYNELL	0.003	4,554 	1861
GAYNELLE	0.001	1,518 	3133
GEARLDINE	0.002	3,036 	2874
GEMA	0.001	1,518 	4245
GEMMA	0.003	4,554 	1711
GENA	0.01	15,181 	879
GENE	0.005	7,590 	1299
GENESIS	0.001	1,518 	3435
GENEVA	0.059	89,567 	303
GENEVIE	0.001	1,518 	3809
GENEVIEVE	0.051	77,423 	333
GENEVIVE	0.001	1,518 	3970
GENIA	0.002	3,036 	2798
GENIE	0.002	3,036 	2568
GENNA	0.001	1,518 	3434
GENNIE	0.002	3,036 	2955
GENNY	0.001	1,518 	3326
GENOVEVA	0.005	7,590 	1378
GEORGANN	0.001	1,518 	3510
GEORGE	0.005	7,590 	1316
GEORGEANN	0.001	1,518 	3433
GEORGEANNA	0.001	1,518 	3566
GEORGENE	0.002	3,036 	2214
GEORGETTA	0.003	4,554 	2080
GEORGETTE	0.011	16,699 	863
GEORGIA	0.091	138,146 	231
GEORGIANA	0.005	7,590 	1333
GEORGIANN	0.001	1,518 	3325
GEORGIANNA	0.005	7,590 	1386
GEORGIANNE	0.001	1,518 	4061
GEORGIE	0.004	6,072 	1452
GEORGINA	0.015	22,771 	717
GEORGINE	0.002	3,036 	2567
GERALD	0.001	1,518 	3565
GERALDINE	0.141	214,051 	161
GERALYN	0.003	4,554 	1727
GERDA	0.004	6,072 	1552
GERI	0.008	12,145 	1049
GERMAINE	0.008	12,145 	1005
GERRI	0.005	7,590 	1441
GERRY	0.005	7,590 	1343
GERTHA	0.002	3,036 	2723
GERTIE	0.005	7,590 	1369
GERTRUD	0.002	3,036 	2395
GERTRUDE	0.103	156,363 	207
GERTRUDIS	0.001	1,518 	4155
GERTUDE	0.001	1,518 	3173
GHISLAINE	0.001	1,518 	4154
GIA	0.002	3,036 	2213
GIANNA	0.001	1,518 	3132
GIDGET	0.001	1,518 	3647
GIGI	0.002	3,036 	2163
GILBERTE	0.001	1,518 	4244
GILDA	0.009	13,663 	958
GILLIAN	0.006	9,109 	1252
GILMA	0.001	1,518 	4153
GINA	0.099	150,291 	213
GINETTE	0.001	1,518 	3219
GINGER	0.034	51,615 	428
GINNY	0.005	7,590 	1401
GIOVANNA	0.003	4,554 	1710
GISELA	0.006	9,109 	1192
GISELE	0.003	4,554 	1785
GISELLE	0.004	6,072 	1618
GITA	0.001	1,518 	3724
GIUSEPPINA	0.001	1,518 	3509
GLADIS	0.003	4,554 	1823
GLADY	0.002	3,036 	2423
GLADYS	0.205	311,209 	103
GLAYDS	0.001	1,518 	3808
GLENDA	0.088	133,592 	242
GLENDORA	0.002	3,036 	2394
GLENN	0.001	1,518 	3723
GLENNA	0.018	27,326 	627
GLENNIE	0.002	3,036 	2873
GLENNIS	0.002	3,036 	2516
GLINDA	0.002	3,036 	2515
GLORIA	0.335	508,560 	56
GLORY	0.003	4,554 	1874
GLYNDA	0.002	3,036 	2908
GLYNIS	0.001	1,518 	3131
GOLDA	0.003	4,554 	1736
GOLDEN	0.001	1,518 	3969
GOLDIE	0.023	34,916 	565
GRACE	0.189	286,919 	114
GRACIA	0.002	3,036 	2422
GRACIE	0.018	27,326 	638
GRACIELA	0.019	28,844 	622
GRAYCE	0.001	1,518 	3172
GRAZYNA	0.001	1,518 	3887
GREGORIA	0.005	7,590 	1320
GREGORY	0.001	1,518 	3270
GRETA	0.014	21,253 	728
GRETCHEN	0.032	48,579 	444
GRETTA	0.003	4,554 	2079
GRICELDA	0.001	1,518 	3218
GRISEL	0.001	1,518 	3807
GRISELDA	0.007	10,627 	1066
GUADALUPE	0.059	89,567 	304
GUDRUN	0.002	3,036 	2690
GUILLERMINA	0.007	10,627 	1120
GUSSIE	0.008	12,145 	1038
GWEN	0.031	47,061 	451
GWENDA	0.002	3,036 	2652
GWENDOLYN	0.074	112,339 	264
GWENN	0.002	3,036 	2831
GWYN	0.002	3,036 	3036
GWYNETH	0.001	1,518 	3722
HA	0.002	3,036 	2300
HAE	0.002	3,036 	2421
HAILEY	0.004	6,072 	1690
HALEY	0.014	21,253 	722
HALINA	0.002	3,036 	2459
HALLEY	0.001	1,518 	3646
HALLIE	0.009	13,663 	928
HAN	0.001	1,518 	3645
HANA	0.002	3,036 	2299
HANG	0.001	1,518 	3171
HANH	0.002	3,036 	2954
HANNA	0.007	10,627 	1112
HANNAH	0.045	68,314 	367
HANNELORE	0.002	3,036 	2393
HARMONY	0.002	3,036 	2229
HAROLD	0.001	1,518 	3508
HARRIET	0.056	85,013 	316
HARRIETT	0.013	19,735 	769
HARRIETTE	0.006	9,109 	1256
HASSIE	0.001	1,518 	3507
HATTIE	0.056	85,013 	315
HAYDEE	0.006	9,109 	1248
HAYLEY	0.005	7,590 	1312
HAZEL	0.161	244,413 	138
HEATHER	0.337	511,597 	53
HEDWIG	0.003	4,554 	1815
HEDY	0.002	3,036 	2830
HEE	0.002	3,036 	2689
HEIDE	0.002	3,036 	2256
HEIDI	0.088	133,592 	241
HEIDY	0.001	1,518 	4243
HEIKE	0.001	1,518 	3506
HELAINE	0.001	1,518 	3721
HELEN	0.663	1,006,494 	15
HELENA	0.021	31,880 	594
HELENE	0.024	36,434 	551
HELGA	0.009	13,663 	957
HELLEN	0.005	7,590 	1417
HENRIETTA	0.031	47,061 	447
HENRIETTE	0.002	3,036 	2340
HENRY	0.002	3,036 	2339
