Name  	% Frequency  	Approx Number  	Rank
ANGELICA	0.039	59,206 	390
ANGELIKA	0.002	3,036 	2465
ANGELINA	0.037	56,169 	414
ANGELINE	0.017	25,808 	650
ANGELIQUE	0.009	13,663 	965
ANGELITA	0.009	13,663 	943
ANGELLA	0.003	4,554 	1948
ANGELO	0.002	3,036 	3046
ANGELYN	0.001	1,518 	3751
ANGIE	0.054	81,977 	327
ANGILA	0.001	1,518 	4273
ANGLA	0.001	1,518 	3750
ANGLE	0.002	3,036 	2626
ANGLEA	0.003	4,554 	1918
ANH	0.004	6,072 	1674
ANIKA	0.003	4,554 	2087
ANISA	0.001	1,518 	3340
ANISHA	0.001	1,518 	3283
ANISSA	0.005	7,590 	1410
ANITA	0.162	245,931 	136
ANITRA	0.003	4,554 	1809
ANJA	0.001	1,518 	3831
ANJANETTE	0.002	3,036 	2404
ANJELICA	0.001	1,518 	3830
ANN	0.364	552,585 	48
ANNA	0.44	667,960 	33
ANNABEL	0.003	4,554 	1829
ANNABELL	0.002	3,036 	2551
ANNABELLE	0.012	18,217 	809
ANNALEE	0.002	3,036 	2844
ANNALISA	0.002	3,036 	2966
ANNAMAE	0.002	3,036 	2698
ANNAMARIA	0.001	1,518 	3229
ANNAMARIE	0.005	7,590 	1419
ANNE	0.228	346,125 	85
ANNELIESE	0.003	4,554 	2021
ANNELLE	0.001	1,518 	4272
ANNEMARIE	0.006	9,109 	1238
ANNETT	0.002	3,036 	3003
ANNETTA	0.006	9,109 	1203
ANNETTE	0.125	189,761 	175
ANNICE	0.002	3,036 	2808
ANNIE	0.216	327,908 	97
ANNIKA	0.001	1,518 	3911
ANNIS	0.002	3,036 	2550
ANNITA	0.001	1,518 	3403
ANNMARIE	0.009	13,663 	946
ANTHONY	0.003	4,554 	2130
ANTIONETTE	0.008	12,145 	1017
ANTOINETTE	0.048	72,868 	361
ANTONETTA	0.001	1,518 	3749
ANTONETTE	0.005	7,590 	1322
ANTONIA	0.035	53,133 	426
ANTONIETTA	0.002	3,036 	2658
ANTONINA	0.003	4,554 	2086
ANTONIO	0.002	3,036 	2149
ANYA	0.002	3,036 	2202
APOLONIA	0.001	1,518 	3091
APRIL	0.154	233,786 	142
APRYL	0.002	3,036 	3002
ARA	0.001	1,518 	3186
ARACELI	0.01	15,181 	881
ARACELIS	0.002	3,036 	3001
ARACELY	0.004	6,072 	1682
ARCELIA	0.003	4,554 	2042
ARDATH	0.001	1,518 	3829
ARDELIA	0.001	1,518 	4271
ARDELL	0.002	3,036 	2965
ARDELLA	0.002	3,036 	2265
ARDELLE	0.001	1,518 	3910
ARDIS	0.004	6,072 	1621
ARDITH	0.004	6,072 	1620
ARETHA	0.006	9,109 	1260
ARGELIA	0.001	1,518 	3185
ARGENTINA	0.001	1,518 	3521
ARIANA	0.005	7,590 	1389
ARIANE	0.002	3,036 	3045
ARIANNA	0.002	3,036 	2495
ARIANNE	0.001	1,518 	3144
ARICA	0.001	1,518 	3585
ARIE	0.002	3,036 	3044
ARIEL	0.007	10,627 	1113
ARIELLE	0.003	4,554 	1888
ARLA	0.002	3,036 	2625
ARLEAN	0.001	1,518 	3828
ARLEEN	0.007	10,627 	1075
ARLENA	0.002	3,036 	2732
ARLENE	0.094	142,701 	225
ARLETHA	0.001	1,518 	3184
ARLETTA	0.002	3,036 	2524
ARLETTE	0.003	4,554 	2110
ARLINDA	0.001	1,518 	3452
ARLINE	0.01	15,181 	892
ARLYNE	0.001	1,518 	3995
ARMANDA	0.002	3,036 	3043
ARMANDINA	0.001	1,518 	3339
ARMIDA	0.004	6,072 	1633
ARMINDA	0.002	3,036 	3000
ARNETTA	0.002	3,036 	2323
ARNETTE	0.001	1,518 	3909
ARNITA	0.002	3,036 	2624
ARTHUR	0.002	3,036 	2697
ARTIE	0.004	6,072 	1632
ARVILLA	0.002	3,036 	2696
ASHA	0.003	4,554 	1947
ASHANTI	0.001	1,518 	3282
